,7532725,158589
ABEV,203,6
ABEW,352,11
ABEX,13,1
ABEY,90,2
ABEZ,63,2
ABF,4202,109
ABFG,130,5
ABFH,150,3
ABFI,394,10
ABFJ,51,2
ABFK,15,1
ABFL,102,3
ABFM,24,1
ABFN,187,8
ABFO,318,7
ABFP,36,1
ABFQ,125,5
ABFR,200,5
ABFT,166,7
ABFU,155,5
ABFV,142,4
ABFW,46,3
ABFX,66,2
ABFY,78,2
ABFZ,117,3
ABG,7450,202
ABGH,105,4
ABGI,508,15
ABGJ,184,7
ABGK,78,2
ABGL,217,9
ABGM,113,3
ABGN,373,14
ABGO,572,16
ABGP,71,3
ABGQ,201,10
ABGR,408,11
ABGS,126,4
ABGT,349,13
ABGU,232,10
ABGV,235,8
ABGW,174,4
ABGX,110,3
ABGY,49,1
ABGZ,80,3
ABH,2315,57
ABHI,91,2
ABHJ,52,1
ABHK,107,3
ABHL,53,2
ABHM,163,3
ABHN,147,4
ABHO,139,4
ABHQ,140,6
ABHR,402,8
ABHT,21,1
ABHU,87,3
ABHV,17,1
ABHW,64,2
ABHY,118,3
ABI,15504,408
ABII,277,10
ABIJ,370,10
ABIK,62,2
ABIL,429,12
ABIM,98,4
ABIN,781,26
ABIO,585,18
ABIP,252,8
ABIQ,512,15
ABIR,410,14
ABIS,166,4
ABIT,541,16
ABIU,487,16
ABIV,468,18
ABIW,239,7
ABIX,39,1
ABIY,110,4
ABIZ,223,7
ABJ,3835,107
ABJK,205,5
ABJL,150,5
ABJM,92,4
ABJN,233,9
ABJO,218,6
ABJP,96,2
ABJQ,235,7
ABJR,158,8
ABJT,166,5
ABJV,120,4
ABJW,154,4
ABJY,119,3
ABJZ,20,1
ABK,4529,111
ABKL,153,4
ABKM,72,2
ABKN,333,9
ABKO,223,8
ABKP,90,3
ABKQ,166,6
ABKR,283,7
ABKS,52,2
ABKT,47,1
ABKU,131,5
ABKZ,81,2
ABL,5454,159
ABLM,143,4
ABLN,259,8
ABLO,218,6
ABLP,69,2
ABLQ,102,5
ABLR,152,6
ABLS,171,3
ABLT,334,10
ABLU,23,1
ABLV,206,6
ABLW,45,2
ABLX,50,3
ABLY,210,5
ABLZ,87,2
ABM,3482,91
ABMN,322,9
ABMO,335,9
ABMP,44,3
ABMQ,52,4
ABMR,159,5
ABMS,79,2
ABMT,229,6
ABMU,99,2
ABMV,51,2
ABMW,105,3
ABMX,37,1
ABMY,66,2
ABMZ,84,2
ABN,12047,324
ABNN,224,8
ABNO,889,23
ABNP,268,9
ABNQ,421,17
ABNR,612,20
ABNS,148,4
ABNT,638,21
ABNU,293,10
ABNV,516,23
ABNW,62,3
ABNX,80,2
ABNY,232,7
ABNZ,265,9
ABO,9755,241
ABOO,264,8
ABOP,160,4
ABOQ,266,11
ABOR,488,17
ABOS,44,2
ABOT,202,7
ABOU,160,5
ABOV,296,12
ABOW,155,5
ABOX,93,2
ABOY,109,4
ABOZ,199,7
ABP,3474,94
ABPQ,29,3
ABPR,212,7
ABPS,40,2
ABPT,196,5
ABPU,198,8
ABPV,223,7
ABPW,40,1
ABPY,46,1
ABPZ,22,1
ABQ,9938,289
ABQR,326,10
ABQS,86,3
ABQT,215,9
ABQU,302,10
ABQV,282,13
ABQW,108,3
ABQX,87,3
ABQY,146,5
ABQZ,61,2
ABR,8024,222
ABRR,423,13
ABRS,129,3
ABRT,366,11
ABRU,155,6
ABRV,119,5
ABRW,82,2
ABRX,53,2
ABRY,183,5
ABRZ,32,2
ABS,1906,48
ABSS,68,1
ABST,111,2
ABSV,107,4
ABSY,51,1
ABSZ,64,2
ABT,8844,239
ABTT,68,2
ABTU,121,4
ABTV,262,9
ABTW,205,5
ABTX,48,1
ABTY,60,1
ABTZ,147,4
ABU,6333,176
ABUV,283,10
ABUW,64,3
ABUY,34,2
ABUZ,96,4
ABV,7555,225
ABVW,201,7
ABVX,93,4
ABVY,14,1
ABVZ,188,5
ABW,3416,91
ABWZ,148,4
ABX,2406,55
ABXZ,101,2
ABY,3822,94
ABYZ,95,5
ABZ,2302,66
AC,95625,2315
ACD,6115,154
ACDE,488,10
ACDF,126,4
ACDG,263,11
ACDH,27,1
ACDI,216,7
ACDJ,51,4
ACDK,75,3
ACDL,109,3
ACDM,92,4
ACDN,400,13
ACDO,281,8
ACDP,36,2
ACDQ,198,7
ACDR,258,12
ACDS,101,2
ACDT,311,7
ACDU,163,5
ACDV,184,7
ACDW,78,3
ACDX,80,2
ACDY,71,3
ACDZ,129,4
ACE,18359,461
ACEE,603,20
ACEF,165,7
ACEG,585,20
ACEH,227,7
ACEI,935,29
ACEJ,406,11
ACEK,20,2
ACEL,309,9
ACEM,244,7
ACEN,599,19
ACEO,1127,28
ACEP,280,10
ACEQ,848,30
ACER,783,20
ACES,104,4
ACET,495,14
ACEU,433,15
ACEV,464,18
ACEW,356,10
ACEX,59,2
ACEY,281,9
ACEZ,216,7
ACF,6269,170
ACFG,218,7
ACFH,186,6
ACFI,312,7
ACFJ,8,1
ACFL,70,3
ACFN,506,16
ACFO,312,10
ACFP,186,6
ACFQ,94,2
ACFR,243,6
ACFS,39,1
ACFT,355,10
ACFU,85,2
ACFV,301,8
ACFW,254,7
ACFX,98,3
ACFY,42,1
ACFZ,242,6
ACG,9885,286
ACGH,140,5
ACGI,363,16
ACGJ,110,6
ACGK,52,2
ACGL,252,10
ACGM,140,4
ACGN,391,19
ACGO,286,11
ACGP,196,7
ACGQ,447,11
ACGR,505,19
ACGS,16,1
ACGT,322,15
ACGU,192,8
ACGV,153,6
ACGW,151,5
ACGX,163,7
ACGY,41,2
ACGZ,284,9
ACH,4738,103
ACHI,132,6
ACHJ,39,1
ACHK,8,1
ACHL,46,2
ACHN,153,5
ACHO,115,3
ACHQ,161,5
ACHR,43,3
ACHT,182,4
ACHU,44,1
ACHV,162,6
ACHW,27,1
ACHY,63,2
ACHZ,60,1
ACI,22143,596
ACII,927,32
ACIJ,548,15
ACIK,327,12
ACIL,547,15
ACIM,107,3
ACIN,992,34
ACIO,735,24
ACIP,374,11
ACIQ,920,30
ACIR,766,20
ACIS,167,4
ACIT,766,24
ACIU,845,25
ACIV,586,22
ACIW,271,9
ACIX,292,8
ACIY,235,6
ACIZ,348,11
ACJ,6895,173
ACJK,96,2
ACJL,244,12
ACJM,98,4
ACJN,222,8
ACJO,190,7
ACJP,208,4
ACJQ,349,11
ACJR,375,9
ACJS,73,3
ACJT,198,7
ACJU,77,4
ACJV,71,4
ACJW,177,7
ACJX,73,2
ACJY,87,3
ACJZ,112,4
ACK,3945,100
ACKL,91,3
ACKM,140,3
ACKN,171,6
ACKO,179,5
ACKP,85,3
ACKQ,126,3
ACKR,132,5
ACKS,32,1
ACKT,242,8
ACKU,79,3
ACKV,110,6
ACKW,6,1
ACKY,51,1
ACKZ,7,1
ACL,7835,240
ACLM,115,4
ACLN,815,27
ACLO,118,6
ACLP,121,5
ACLQ,319,15
ACLR,464,17
ACLS,102,2
ACLT,168,6
ACLU,228,10
ACLV,216,11
ACLW,139,7
ACLX,53,3
ACLY,82,2
ACLZ,242,8
ACM,4264,114
ACMN,341,9
ACMO,223,5
ACMQ,66,4
ACMR,363,12
ACMS,86,2
ACMT,138,4
ACMU,113,3
ACMV,100,3
ACMY,72,1
ACMZ,41,1
ACN,13022,373
ACNN,171,8
ACNO,880,25
ACNP,365,13
ACNQ,777,31
ACNR,478,21
ACNS,47,3
ACNT,466,20
ACNU,384,13
ACNV,582,26
ACNW,320,9
ACNX,237,7
ACNY,206,8
ACNZ,164,5
ACO,13455,346
ACOO,395,13
ACOP,157,4
ACOQ,574,16
ACOR,600,15
ACOS,251,6
ACOT,273,12
ACOU,241,8
ACOV,355,11
ACOW,222,6
ACOX,92,3
ACOY,83,3
ACOZ,132,3
ACP,3566,99
ACPQ,122,5
ACPR,179,5
ACPS,41,1
ACPT,136,4
ACPU,65,3
ACPV,62,2
ACPW,112,3
ACPX,31,1
ACPZ,83,2
ACQ,18495,534
ACQR,364,15
ACQS,53,3
ACQT,337,11
ACQU,401,12
ACQV,388,17
ACQW,109,5
ACQX,51,2
ACQY,88,3
ACQZ,160,7
ACR,12046,336
ACRR,361,16
ACRS,13,1
ACRT,472,16
ACRU,332,13
ACRV,365,12
ACRW,217,8
ACRX,90,4
ACRY,28,2
ACRZ,288,8
ACS,3350,81
ACST,98,4
ACSU,29,1
ACSV,101,2
ACSW,77,2
ACSY,24,1
ACT,11966,315
ACTT,178,8
ACTU,278,10
ACTV,418,13
ACTW,144,6
ACTX,158,6
ACTY,98,3
ACU,11522,327
ACUV,465,16
ACUW,48,3
ACUX,81,3
ACUY,100,4
ACUZ,48,2
ACV,10738,317
ACVW,156,5
ACVX,218,8
ACVY,89,4
ACVZ,44,2
ACW,5093,132
ACWZ,74,3
ACX,2742,71
ACY,3386,89
ACYZ,61,2
ACZ,3209,95
AD,68925,1587
ADE,9995,250
ADEE,551,18
ADEF,313,9
ADEG,355,10
ADEH,91,2
ADEI,546,20
ADEJ,177,5
ADEK,83,2
ADEL,394,12
ADEM,104,3
ADEN,657,19
ADEO,847,21
ADEP,159,4
ADEQ,745,24
ADER,1072,26
ADES,27,1
ADET,409,13
ADEU,330,11
ADEV,351,11
ADEW,77,3
ADEX,133,3
ADEY,145,4
ADEZ,97,3
ADF,3744,96
ADFG,239,8
ADFH,77,3
ADFI,14,1
ADFJ,220,6
ADFK,65,2
ADFL,171,6
ADFM,19,1
ADFN,224,7
ADFO,162,5
ADFP,51,2
ADFQ,68,3
ADFR,147,6
ADFS,44,1
ADFT,57,2
ADFU,152,5
ADFV,118,3
ADFW,58,2
ADFX,55,2
ADFY,97,2
ADFZ,151,4
ADG,6584,192
ADGH,64,2
ADGI,452,15
ADGJ,200,7
ADGK,104,5
ADGL,254,8
ADGM,65,2
ADGN,328,11
ADGO,202,6
ADGP,105,5
ADGQ,237,10
ADGR,443,14
ADGS,185,4
ADGT,117,3
ADGU,112,3
ADGV,81,3
ADGW,109,3
ADGX,59,2
ADGY,62,2
ADGZ,96,3
ADH,2498,53
ADHI,149,5
ADHJ,72,1
ADHL,35,1
ADHN,140,6
ADHO,54,1
ADHR,121,4
ADHT,54,1
ADHU,191,5
ADHV,29,2
ADHX,28,1
ADHZ,76,2
ADI,14248,368
ADII,322,11
ADIJ,125,3
ADIK,286,8
ADIL,455,17
ADIM,136,4
ADIN,706,23
ADIO,540,22
ADIP,234,7
ADIQ,604,18
ADIR,541,17
ADIS,225,6
ADIT,471,17
ADIU,612,17
ADIV,319,9
ADIW,47,1
ADIX,62,2
ADIY,88,3
ADIZ,174,5
ADJ,4799,128
ADJK,33,2
ADJL,82,3
ADJM,55,1
ADJN,365,10
ADJO,165,5
ADJP,41,1
ADJQ,134,5
ADJR,200,9
ADJS,7,1
ADJT,52,5
ADJU,113,6
ADJV,111,5
ADJW,46,1
ADJX,42,1
ADJZ,31,1
ADK,3563,82
ADKL,28,2
ADKM,47,1
ADKN,71,2
ADKO,129,4
ADKP,69,3
ADKQ,200,8
ADKR,105,4
ADKS,42,1
ADKT,109,4
ADKV,111,4
ADKW,55,2
ADKX,102,3
ADKY,34,1
ADKZ,124,3
ADL,6201,175
ADLN,576,24
ADLO,395,12
ADLP,113,4
ADLQ,281,11
ADLR,368,16
ADLS,27,1
ADLT,168,5
ADLU,44,1
ADLV,324,10
ADLW,74,4
ADLX,85,4
ADLZ,26,1
ADM,2987,77
ADMN,210,6
ADMO,120,3
ADMP,90,3
ADMQ,174,6
ADMR,232,6
ADMS,150,4
ADMT,174,5
ADMU,66,2
ADMV,128,4
ADMW,31,1
ADMX,8,1
ADMY,24,1
ADMZ,92,3
ADN,10721,301
ADNN,398,16
ADNO,401,12
ADNP,102,3
ADNQ,472,15
ADNR,541,18
ADNS,157,4
ADNT,554,19
ADNU,331,12
ADNV,310,12
ADNW,250,8
ADNX,81,4
ADNY,66,3
ADNZ,173,5
ADO,7049,194
ADOO,232,6
ADOP,197,6
ADOQ,336,12
ADOR,632,18
ADOS,66,1
ADOT,292,9
ADOU,249,7
ADOV,142,6
ADOW,168,5
ADOX,118,5
ADOY,191,4
ADOZ,93,3
ADP,3770,88
ADPQ,59,2
ADPR,212,8
ADPS,23,1
ADPT,150,5
ADPU,51,2
ADPV,163,6
ADPW,45,1
ADPY,90,2
ADQ,9059,273
ADQR,567,20
ADQS,129,3
ADQT,407,18
ADQU,152,8
ADQV,439,15
ADQW,145,5
ADQX,63,4
ADQY,75,3
ADQZ,34,1
ADR,9802,263
ADRR,168,7
ADRS,157,3
ADRT,714,20
ADRU,362,13
ADRV,465,14
ADRW,190,7
ADRX,208,5
ADRY,87,2
ADRZ,161,4
ADS,2680,61
ADST,118,4
ADSU,49,2
ADSV,78,3
ADSW,22,1
ADSY,74,1
ADT,8023,221
ADTT,210,9
ADTU,111,4
ADTV,274,11
ADTX,89,2
ADTY,103,2
ADU,6914,192
ADUV,239,8
ADUW,142,4
ADUX,109,4
ADUY,33,1
ADUZ,106,5
ADV,7519,210
ADVW,3,1
ADVX,27,1
ADVY,53,1
ADVZ,46,1
ADW,2888,67
ADWX,19,1
ADWZ,44,2
ADX,1592,44
ADXZ,115,2
ADY,2105,52
ADZ,2377,60
AE,323937,7352
AEE,53694,1371
AEEE,1271,44
AEEF,402,14
AEEG,1000,32
AEEH,249,6
AEEI,3389,103
AEEJ,317,12
AEEK,27,2
AEEL,1230,36
AEEM,545,16
AEEN,1361,46
AEEO,2677,76
AEEP,348,11
AEEQ,1109,39
AEER,1672,48
AEES,297,9
AEET,1026,27
AEEU,940,34
AEEV,769,25
AEEW,531,17
AEEX,403,11
AEEY,323,11
AEEZ,167,5
AEF,11544,282
AEFG,270,6
AEFH,124,4
AEFI,575,19
AEFJ,254,7
AEFK,57,2
AEFL,428,9
AEFM,281,7
AEFN,693,18
AEFO,456,11
AEFP,181,5
AEFQ,554,19
AEFR,462,12
AEFS,94,3
AEFT,420,11
AEFU,202,9
AEFV,338,11
AEFW,144,4
AEFX,112,2
AEFY,272,6
AEFZ,183,4
AEG,21180,567
AEGH,252,8
AEGI,1151,39
AEGJ,240,8
AEGK,423,12
AEGL,419,20
AEGM,99,3
AEGN,709,28
AEGO,916,30
AEGP,306,11
AEGQ,969,30
AEGR,1077,28
AEGS,132,4
AEGT,595,16
AEGU,659,21
AEGV,493,15
AEGW,397,13
AEGX,273,7
AEGY,198,6
AEGZ,130,6
AEH,7430,179
AEHI,432,13
AEHJ,195,6
AEHK,119,3
AEHL,206,7
AEHM,140,4
AEHN,365,12
AEHO,544,13
AEHP,127,3
AEHQ,120,5
AEHR,572,16
AEHS,30,1
AEHT,422,11
AEHU,208,7
AEHV,361,9
AEHW,153,3
AEHX,77,2
AEHY,50,1
AEHZ,30,1
AEI,78407,2016
AEII,2566,84
AEIJ,745,25
AEIK,441,14
AEIL,1304,46
AEIM,418,11
AEIN,2113,73
AEIO,3906,118
AEIP,791,27
AEIQ,2482,88
AEIR,1792,56
AEIS,421,11
AEIT,1201,44
AEIU,2311,75
AEIV,1219,37
AEIW,372,11
AEIX,202,8
AEIY,657,19
AEIZ,858,23
AEJ,14919,391
AEJK,93,4
AEJL,465,15
AEJM,49,1
AEJN,369,13
AEJO,593,16
AEJP,245,6
AEJQ,456,17
AEJR,490,17
AEJS,143,4
AEJT,543,18
AEJU,371,12
AEJV,380,11
AEJW,246,7
AEJX,55,2
AEJY,100,3
AEJZ,135,4
AEK,8578,205
AEKL,206,10
AEKM,66,2
AEKN,433,15
AEKO,601,17
AEKP,135,4
AEKQ,393,13
AEKR,346,9
AEKS,153,3
AEKT,359,11
AEKU,182,6
AEKV,285,9
AEKW,48,3
AEKX,83,3
AEKY,108,2
AEKZ,123,5
AEL,16707,446
AELM,248,7
AELN,1056,32
AELO,819,29
AELP,213,7
AELQ,944,32
AELR,843,27
AELS,231,4
AELT,556,18
AELU,853,27
AELV,625,19
AELW,223,9
AELX,76,3
AELY,120,4
AELZ,177,4
AEM,8930,210
AEMN,616,17
AEMO,571,14
AEMP,197,5
AEMQ,103,4
AEMR,417,11
AEMT,259,8
AEMU,217,7
AEMV,675,21
AEMW,80,2
AEMX,57,1
AEMY,100,3
AEMZ,215,6
AEN,35856,968
AENN,745,25
AENO,2339,69
AENP,371,11
AENQ,1212,46
AENR,1673,57
AENS,278,7
AENT,1250,41
AENU,1070,37
AENV,837,23
AENW,509,17
AENX,244,9
AENY,404,13
AENZ,323,12
AEO,56301,1406
AEOO,1973,59
AEOP,698,21
AEOQ,1800,57
AEOR,1826,52
AEOS,446,13
AEOT,1272,38
AEOU,1508,47
AEOV,921,30
AEOW,746,22
AEOX,199,8
AEOY,732,19
AEOZ,286,7
AEP,10487,254
AEPQ,713,19
AEPR,366,11
AEPS,59,2
AEPT,411,10
AEPU,274,8
AEPV,252,7
AEPW,156,5
AEPX,36,1
AEPY,145,3
AEPZ,66,3
AEQ,40471,1166
AEQR,1474,54
AEQS,222,6
AEQT,979,31
AEQU,718,22
AEQV,861,32
AEQW,154,5
AEQX,196,6
AEQY,554,17
AEQZ,385,12
AER,29668,753
AERR,627,22
AERS,167,7
AERT,852,28
AERU,696,23
AERV,1312,31
AERW,431,10
AERX,323,12
AERY,338,8
AERZ,326,10
AES,7215,167
AESS,51,1
AEST,202,5
AESU,262,7
AESV,181,5
AESX,49,1
AESY,41,1
AET,26223,665
AETT,403,12
AETU,1047,32
AETV,447,18
AETW,244,9
AETX,298,8
AETY,307,10
AETZ,180,8
AEU,34227,911
AEUV,466,16
AEUW,151,5
AEUX,113,4
AEUY,128,7
AEUZ,241,9
AEV,20607,554
AEVW,82,4
AEVX,244,7
AEVY,213,7
AEVZ,460,13
AEW,10623,260
AEWX,29,1
AEWY,330,8
AEWZ,48,2
AEX,7564,171
AEXY,72,4
AEXZ,84,2
AEY,11049,249
AEYZ,74,2
AEZ,5826,155
AF,63110,1454
AFG,5344,150
AFGH,20,1
AFGI,155,5
AFGJ,277,10
AFGK,34,2
AFGL,375,10
AFGM,13,1
AFGN,143,5
AFGO,311,10
AFGP,135,3
AFGQ,284,11
AFGR,114,3
AFGS,56,2
AFGT,278,10
AFGU,76,2
AFGV,126,7
AFGW,31,2
AFGX,46,1
AFGY,43,1
AFGZ,56,3
AFH,1981,53
AFHI,229,5
AFHJ,51,1
AFHL,96,3
AFHN,185,4
AFHO,130,4
AFHP,72,2
AFHQ,64,3
AFHR,186,4
AFHT,17,1
AFHU,47,2
AFHV,30,1
AFHX,55,1
AFHZ,13,1
AFI,12197,316
AFII,616,17
AFIJ,357,11
AFIK,107,3
AFIL,453,12
AFIM,130,4
AFIN,535,19
AFIO,595,17
AFIP,125,4
AFIQ,387,13
AFIR,178,7
AFIS,84,3
AFIT,451,15
AFIU,460,14
AFIV,327,10
AFIW,223,6
AFIX,82,3
AFIY,181,5
AFIZ,154,4
AFJ,3890,101
AFJK,98,3
AFJL,219,6
AFJM,37,1
AFJN,135,3
AFJO,107,3
AFJP,96,2
AFJQ,275,8
AFJR,68,2
AFJT,62,2
AFJU,26,1
AFJV,296,10
AFJW,106,3
AFJY,168,5
AFJZ,20,1
AFK,2792,69
AFKL,22,1
AFKM,73,2
AFKN,92,4
AFKO,71,2
AFKQ,55,2
AFKR,307,8
AFKT,113,3
AFKU,52,3
AFKV,58,1
AFKY,54,1
AFKZ,51,1
AFL,5348,134
AFLM,185,5
AFLN,240,10
AFLO,317,10
AFLP,31,1
AFLQ,335,8
AFLR,222,6
AFLS,118,3
AFLT,357,12
AFLU,144,4
AFLV,70,2
AFLW,207,8
AFLX,48,1
AFLY,24,1
AFLZ,32,1
AFM,2980,74
AFMN,303,10
AFMO,171,4
AFMP,18,1
AFMQ,73,2
AFMR,75,4
AFMS,142,2
AFMT,209,5
AFMU,126,3
AFMV,216,7
AFMW,53,1
AFMZ,97,3
AFN,8938,239
AFNN,356,14
AFNO,289,9
AFNP,337,9
AFNQ,438,15
AFNR,432,17
AFNS,51,1
AFNT,735,25
AFNU,59,4
AFNV,344,16
AFNW,144,5
AFNX,28,1
AFNY,38,3
AFNZ,222,8
AFO,8500,211
AFOO,262,6
AFOP,141,4
AFOQ,161,6
AFOR,303,6
AFOS,149,3
AFOT,318,13
AFOU,306,10
AFOV,193,7
AFOW,126,4
AFOX,46,2
AFOY,81,2
AFOZ,72,2
